station_id,date,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_in,precip_max_daily_in,days_precip_01in,days_precip_10in,days_precip_1in,cooling_degree_days,heating_degree_days,cooling_dd_season,heating_dd_season,days_min_lte_32f,days_max_lte_32f,days_max_gte_70f,days_max_gte_90f,days_max_lte_0f,wind_speed_avg_mph,year,month,is_growing_season
USC00118740,1903-12-01,-5.46,0.0,-10.91,7.2,-21.7,55.4,37.3,6.0,2.0,1.0,0.0,737.5,455.3,1477.1,31.0,15.0,0.0,0.0,5.0,,1903,12,False
USC00118740,1904-01-01,-7.81,-2.75,-12.86,10.0,-26.1,78.5,25.4,13.0,7.0,1.0,0.0,810.4,0.0,2287.5,29.0,22.0,0.0,0.0,11.0,,1904,1,False
USC00118740,1904-02-01,-5.73,-0.74,-10.72,15.6,-23.9,47.3,12.4,7.0,5.0,0.0,0.0,697.9,0.0,2985.4,26.0,17.0,0.0,0.0,5.0,,1904,2,False
USC00118740,1904-03-01,3.6,8.51,-1.31,22.2,-11.7,194.6,60.2,11.0,9.0,3.0,0.0,456.7,0.0,3442.1,20.0,4.0,2.0,0.0,0.0,,1904,3,False
USC00118740,1904-04-01,7.34,13.42,1.27,26.7,-5.6,100.9,40.9,8.0,8.0,1.0,0.3,330.0,0.3,3772.1,12.0,0.0,3.0,0.0,0.0,,1904,4,True
USC00118740,1904-05-01,16.23,22.49,9.96,30.6,3.3,40.5,8.6,9.0,5.0,0.0,19.7,84.9,20.0,3857.0,0.0,0.0,20.0,0.0,0.0,,1904,5,True
USC00118740,1904-06-01,20.46,26.8,14.12,31.1,4.4,29.6,10.9,8.0,5.0,0.0,68.0,7.5,88.0,3864.5,0.0,0.0,29.0,0.0,0.0,,1904,6,True
USC00118740,1904-07-01,22.51,28.83,16.19,33.3,5.0,69.1,32.3,6.0,6.0,1.0,134.5,5.0,222.5,5.0,0.0,0.0,31.0,6.0,0.0,,1904,7,True
USC00118740,1904-08-01,21.27,28.16,14.39,32.8,7.8,90.3,31.0,9.0,6.0,2.0,99.5,8.4,322.0,13.4,0.0,0.0,31.0,2.0,0.0,,1904,8,True
USC00118740,1904-09-01,18.95,25.26,12.63,31.7,5.0,64.3,34.5,6.0,4.0,1.0,51.4,33.0,373.4,46.4,0.0,0.0,26.0,0.0,0.0,,1904,9,True
USC00118740,1904-10-01,11.69,18.67,4.71,27.2,-2.2,20.6,11.2,3.0,2.0,0.0,3.3,209.3,376.7,255.7,6.0,0.0,10.0,0.0,0.0,,1904,10,False
USC00118740,1904-11-01,5.63,12.43,-1.17,20.6,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,376.7,636.7,19.0,1.0,0.0,0.0,0.0,,1904,11,False
USC00118740,1904-12-01,-2.39,2.71,-7.5,12.8,-16.7,21.0,8.1,8.0,3.0,0.0,0.0,642.5,376.7,1279.2,29.0,12.0,0.0,0.0,0.0,,1904,12,False
USC00118740,1905-01-01,-7.13,-2.02,-12.24,14.4,-23.9,45.8,33.0,8.0,2.0,1.0,0.0,789.2,0.0,2068.4,30.0,22.0,0.0,0.0,6.0,,1905,1,False
USC00118740,1905-02-01,-8.46,-3.04,-13.89,9.4,-31.7,57.6,22.1,7.0,6.0,0.0,0.0,750.3,0.0,2818.7,28.0,18.0,0.0,0.0,13.0,,1905,2,False
USC00118740,1905-03-01,6.69,12.65,0.74,25.0,-6.7,19.1,8.1,5.0,3.0,0.0,0.3,361.1,0.3,3179.8,16.0,0.0,5.0,0.0,0.0,,1905,3,False
USC00118740,1905-04-01,10.3,16.53,4.06,28.3,-3.3,75.0,35.1,9.0,4.0,1.0,0.3,241.4,0.6,3421.2,11.0,0.0,5.0,0.0,0.0,,1905,4,True
USC00118740,1905-05-01,16.99,22.83,11.15,29.4,5.6,107.7,29.2,10.0,9.0,1.0,23.3,64.9,23.9,3486.1,0.0,0.0,21.0,0.0,0.0,,1905,5,True
USC00118740,1905-06-01,21.74,28.84,14.64,36.1,7.8,33.0,26.7,5.0,1.0,1.0,107.3,5.2,131.2,3491.3,0.0,0.0,30.0,6.0,0.0,,1905,6,True
USC00118740,1905-07-01,22.69,27.95,17.42,33.3,11.1,137.2,36.6,17.0,11.0,1.0,135.0,0.0,266.2,0.0,0.0,0.0,31.0,5.0,0.0,,1905,7,True
USC00118740,1905-08-01,23.72,30.05,17.38,34.4,12.2,54.4,31.0,3.0,3.0,1.0,167.0,0.0,433.2,0.0,0.0,0.0,31.0,6.0,0.0,,1905,8,True
USC00118740,1905-09-01,19.67,25.81,13.53,33.9,7.8,73.1,43.9,4.0,3.0,1.0,59.8,19.7,493.0,19.7,0.0,0.0,27.0,2.0,0.0,,1905,9,True
USC00118740,1905-10-01,11.27,17.97,4.56,30.0,-2.8,79.0,35.6,9.0,6.0,1.0,5.3,224.3,498.3,244.0,9.0,0.0,12.0,0.0,0.0,,1905,10,False
USC00118740,1905-11-01,4.18,10.57,-2.21,23.3,-10.6,36.9,15.2,4.0,3.0,0.0,0.0,424.6,498.3,668.6,24.0,1.0,1.0,0.0,0.0,,1905,11,False
USC00118740,1905-12-01,-1.26,3.55,-6.07,11.1,-16.1,33.4,9.4,5.0,5.0,0.0,0.0,607.5,498.3,1276.1,31.0,7.0,0.0,0.0,0.0,,1905,12,False
USC00118740,1906-01-01,0.16,4.95,-4.62,19.4,-16.7,41.8,23.1,5.0,5.0,0.0,0.0,563.2,0.0,1839.3,28.0,6.0,0.0,0.0,0.0,,1906,1,False
USC00118740,1906-02-01,-2.59,3.06,-8.23,16.7,-21.7,28.2,8.6,6.0,4.0,0.0,0.0,585.7,0.0,2425.0,24.0,10.0,0.0,0.0,2.0,,1906,2,False
USC00118740,1906-03-01,-1.64,2.35,-5.63,11.7,-20.6,117.1,31.8,12.0,9.0,1.0,0.0,619.1,0.0,3044.1,27.0,14.0,0.0,0.0,1.0,,1906,3,False
USC00118740,1906-04-01,12.3,19.3,5.3,28.9,-3.3,56.7,27.7,7.0,4.0,1.0,1.7,182.8,1.7,3226.9,3.0,0.0,14.0,0.0,0.0,,1906,4,True
USC00118740,1906-05-01,16.76,23.85,9.67,31.1,-1.1,84.1,28.7,7.0,5.0,2.0,38.4,87.0,40.1,3313.9,1.0,0.0,23.0,0.0,0.0,,1906,5,True
USC00118740,1906-06-01,20.51,26.28,14.74,33.9,7.8,78.2,48.5,6.0,5.0,1.0,82.7,17.5,122.8,3331.4,0.0,0.0,27.0,2.0,0.0,,1906,6,True
USC00118740,1906-07-01,22.87,29.79,15.95,33.3,11.1,54.9,15.2,7.0,6.0,0.0,140.7,0.0,263.5,0.0,0.0,0.0,31.0,6.0,0.0,,1906,7,True
USC00118740,1906-08-01,24.06,30.4,17.73,34.4,8.3,116.1,56.1,11.0,8.0,1.0,180.2,2.5,443.7,2.5,0.0,0.0,31.0,11.0,0.0,,1906,8,True
USC00118740,1906-09-01,20.59,27.16,14.03,32.8,8.9,62.2,21.6,10.0,5.0,0.0,78.9,11.1,522.6,13.6,0.0,0.0,27.0,4.0,0.0,,1906,9,True
USC00118740,1906-10-01,11.72,17.38,6.06,25.6,-6.7,34.5,20.3,4.0,4.0,0.0,0.6,205.6,523.2,219.2,6.0,0.0,11.0,0.0,0.0,,1906,10,False
USC00118740,1906-11-01,4.54,9.56,-0.49,21.1,-6.7,116.7,37.6,11.0,7.0,2.0,0.0,413.9,523.2,633.1,19.0,0.0,1.0,0.0,0.0,,1906,11,False
USC00118740,1906-12-01,0.27,4.24,-3.7,16.1,-13.9,79.4,33.8,12.0,6.0,1.0,0.0,541.2,523.2,1174.3,22.0,9.0,0.0,0.0,0.0,,1906,12,False
USC00118740,1907-01-01,-0.55,3.64,-4.73,17.8,-17.8,154.7,30.5,16.0,13.0,1.0,0.0,585.3,0.0,1759.6,24.0,10.0,0.0,0.0,1.0,,1907,1,False
USC00118740,1907-02-01,-1.71,2.8,-6.23,14.4,-19.4,6.1,2.5,4.0,1.0,0.0,0.0,561.3,0.0,2320.9,26.0,9.0,0.0,0.0,1.0,,1907,2,False
USC00118740,1907-03-01,8.07,13.1,3.05,29.4,-6.1,85.0,16.8,11.0,8.0,0.0,12.2,330.3,12.2,2651.2,14.0,0.0,8.0,0.0,0.0,,1907,3,False
USC00118740,1907-04-01,5.85,11.02,0.68,25.0,-5.6,59.4,19.1,8.0,6.0,0.0,0.0,374.5,12.2,3025.7,15.0,0.0,2.0,0.0,0.0,,1907,4,True
USC00118740,1907-05-01,13.01,18.95,7.06,28.9,-1.1,128.1,61.0,11.0,7.0,2.0,11.5,176.6,23.7,3202.3,2.0,0.0,12.0,0.0,0.0,,1907,5,True
USC00118740,1907-06-01,19.3,25.02,13.58,32.2,5.6,141.2,61.2,7.0,5.0,2.0,60.1,31.0,83.8,3233.3,0.0,0.0,26.0,1.0,0.0,,1907,6,True
USC00118740,1907-07-01,23.44,29.37,17.51,33.9,8.9,137.5,26.2,11.0,10.0,1.0,158.9,0.5,242.7,0.5,0.0,0.0,30.0,7.0,0.0,,1907,7,True
USC00118740,1907-08-01,21.65,27.08,16.23,33.3,10.0,112.4,36.1,9.0,7.0,1.0,103.9,6.1,346.6,6.6,0.0,0.0,30.0,2.0,0.0,,1907,8,True
USC00118740,1907-09-01,18.29,24.04,12.54,33.3,2.2,23.8,9.1,5.0,3.0,0.0,58.9,60.2,405.5,66.8,0.0,0.0,21.0,1.0,0.0,,1907,9,True
USC00118740,1907-10-01,10.74,17.17,4.32,31.7,-2.2,38.3,26.2,5.0,4.0,1.0,5.6,240.9,411.1,307.7,9.0,0.0,8.0,0.0,0.0,,1907,10,False
USC00118740,1907-11-01,3.27,9.01,-2.48,15.6,-8.9,50.6,20.3,6.0,4.0,0.0,0.0,439.9,411.1,747.6,23.0,0.0,0.0,0.0,0.0,,1907,11,False
USC00118740,1907-12-01,0.05,3.89,-3.8,16.7,-10.6,84.2,34.5,6.0,4.0,1.0,0.0,566.8,411.1,1314.4,28.0,8.0,0.0,0.0,0.0,,1907,12,False
USC00118740,1908-01-01,-1.79,3.23,-6.81,11.1,-16.7,30.8,16.8,4.0,4.0,0.0,0.0,602.9,0.0,1917.3,28.0,8.0,0.0,0.0,0.0,,1908,1,False
USC00118740,1908-02-01,-2.7,1.49,-6.89,11.7,-18.9,103.7,26.9,9.0,9.0,1.0,0.0,584.3,0.0,2501.6,26.0,12.0,0.0,0.0,1.0,,1908,2,False
USC00118740,1908-03-01,6.12,11.79,0.45,24.4,-4.4,81.3,33.0,6.0,6.0,1.0,0.0,378.7,0.0,2880.3,16.0,0.0,2.0,0.0,0.0,,1908,3,False
USC00118740,1908-04-01,10.15,15.77,4.54,25.6,-6.7,127.1,27.9,12.0,10.0,1.0,0.0,245.4,0.0,3125.7,5.0,0.0,8.0,0.0,0.0,,1908,4,True
USC00118740,1908-05-01,16.59,21.63,11.56,29.4,1.1,199.0,44.2,17.0,13.0,3.0,51.6,105.6,51.6,3231.3,0.0,0.0,21.0,0.0,0.0,,1908,5,True
USC00118740,1908-06-01,20.71,26.58,14.83,33.3,5.0,50.6,25.7,7.0,5.0,1.0,91.7,20.5,143.3,3251.8,0.0,0.0,26.0,2.0,0.0,,1908,6,True
USC00118740,1908-07-01,23.25,29.01,17.5,34.4,10.0,58.7,20.3,7.0,7.0,0.0,156.1,3.6,299.4,3.6,0.0,0.0,29.0,6.0,0.0,,1908,7,True
USC00118740,1908-08-01,22.66,29.02,16.31,33.9,10.6,52.0,31.5,3.0,3.0,1.0,137.3,3.0,436.7,6.6,0.0,0.0,31.0,3.0,0.0,,1908,8,True
USC00118740,1908-09-01,20.62,28.17,13.07,33.9,0.6,49.5,33.8,4.0,2.0,1.0,103.2,34.6,539.9,41.2,0.0,0.0,28.0,8.0,0.0,,1908,9,True
USC00118740,1908-10-01,12.23,19.1,5.36,30.0,-2.8,5.3,2.5,3.0,1.0,0.0,6.7,195.8,546.6,237.0,3.0,0.0,15.0,0.0,0.0,,1908,10,False
USC00118740,1908-11-01,5.8,11.31,0.28,21.1,-10.0,50.6,20.8,6.0,5.0,0.0,0.0,376.0,546.6,613.0,14.0,1.0,1.0,0.0,0.0,,1908,11,False
USC00118740,1908-12-01,0.0,5.02,-5.02,16.7,-15.6,36.7,17.8,4.0,3.0,0.0,0.0,568.4,546.6,1181.4,28.0,4.0,0.0,0.0,0.0,,1908,12,False
USC00118740,1909-01-01,-2.0,2.35,-6.35,21.1,-18.9,55.2,18.3,8.0,4.0,0.0,0.0,630.4,0.0,1811.8,24.0,12.0,1.0,0.0,5.0,,1909,1,False
USC00118740,1909-02-01,0.51,5.51,-4.49,15.6,-17.2,144.7,34.8,10.0,9.0,1.0,0.0,499.0,0.0,2310.8,25.0,5.0,0.0,0.0,0.0,,1909,2,False
USC00118740,1909-03-01,3.41,8.18,-1.35,17.2,-10.0,44.7,23.1,6.0,3.0,0.0,0.0,462.5,0.0,2773.3,23.0,0.0,0.0,0.0,0.0,,1909,3,False
USC00118740,1909-04-01,9.58,15.1,4.05,26.7,-5.6,189.0,61.0,10.0,9.0,3.0,0.8,263.5,0.8,3036.8,9.0,0.0,6.0,0.0,0.0,,1909,4,True
USC00118740,1909-05-01,14.92,20.63,9.22,29.4,0.0,141.8,46.2,11.0,7.0,2.0,10.6,113.5,11.4,3150.3,1.0,0.0,19.0,0.0,0.0,,1909,5,True
USC00118740,1909-06-01,21.22,27.07,15.37,32.8,5.6,95.4,16.5,13.0,11.0,0.0,99.5,12.8,110.9,3163.1,0.0,0.0,30.0,2.0,0.0,,1909,6,True
USC00118740,1909-07-01,21.67,27.05,16.3,33.9,9.4,192.2,54.9,9.0,6.0,3.0,109.7,6.1,220.6,6.1,0.0,0.0,29.0,4.0,0.0,,1909,7,True
USC00118740,1909-08-01,24.15,30.67,17.63,34.4,10.0,60.3,58.9,4.0,1.0,1.0,180.6,0.3,401.2,6.4,0.0,0.0,31.0,11.0,0.0,,1909,8,True
USC00118740,1909-09-01,17.42,23.42,11.42,32.2,2.2,60.0,35.8,6.0,5.0,1.0,39.4,66.7,440.6,73.1,0.0,0.0,19.0,1.0,0.0,,1909,9,True
USC00118740,1909-10-01,,,,,,57.0,21.3,8.0,8.0,0.0,,,,,,,,,,,1909,10,False
USC00118740,1909-11-01,9.87,15.66,4.09,23.3,-7.2,87.7,27.7,7.0,6.0,2.0,0.3,254.1,,,8.0,0.0,8.0,0.0,0.0,,1909,11,False
USC00118740,1909-12-01,-6.66,-2.25,-11.07,15.6,-25.0,64.8,16.5,9.0,6.0,0.0,0.0,774.9,,,27.0,22.0,0.0,0.0,9.0,,1909,12,False
USC00118740,1910-01-01,-2.83,0.76,-6.41,8.3,-18.3,56.6,23.9,6.0,5.0,0.0,0.0,656.0,0.0,,28.0,15.0,0.0,0.0,2.0,,1910,1,False
USC00118740,1910-02-01,-3.74,1.1,-8.59,15.0,-24.4,45.2,15.2,8.0,7.0,0.0,0.0,618.1,0.0,,25.0,9.0,0.0,0.0,3.0,,1910,2,False
USC00118740,1910-03-01,10.16,17.15,3.17,29.4,-8.3,9.7,4.3,4.0,2.0,0.0,6.1,259.4,6.1,,10.0,0.0,11.0,0.0,0.0,,1910,3,False
USC00118740,1910-04-01,11.08,17.37,4.78,28.9,-5.0,39.9,11.7,13.0,5.0,0.0,4.9,222.6,11.0,,8.0,0.0,12.0,0.0,0.0,,1910,4,True
USC00118740,1910-05-01,13.88,19.13,8.64,26.1,1.1,135.8,38.1,11.0,9.0,1.0,5.6,143.5,16.6,,0.0,0.0,11.0,0.0,0.0,,1910,5,True
USC00118740,1910-06-01,20.85,27.33,14.36,35.0,3.3,76.0,37.6,5.0,4.0,2.0,115.5,40.1,132.1,,0.0,0.0,27.0,9.0,0.0,,1910,6,True
USC00118740,1910-07-01,23.74,29.44,18.04,33.9,12.2,70.1,23.6,8.0,5.0,0.0,167.6,0.0,299.7,0.0,0.0,0.0,31.0,6.0,0.0,,1910,7,True
USC00118740,1910-08-01,21.69,28.05,15.33,32.2,7.8,66.5,22.1,6.0,5.0,0.0,110.6,6.7,410.3,6.7,0.0,0.0,31.0,2.0,0.0,,1910,8,True
USC00118740,1910-09-01,18.8,24.59,13.0,30.6,5.0,105.1,31.0,9.0,7.0,2.0,47.3,33.4,457.6,40.1,0.0,0.0,26.0,0.0,0.0,,1910,9,True
USC00118740,1910-10-01,13.89,20.75,7.02,28.3,-6.1,34.1,11.7,6.0,4.0,0.0,15.8,153.6,473.4,193.7,4.0,0.0,17.0,0.0,0.0,,1910,10,False
USC00118740,1910-11-01,2.54,8.11,-3.03,21.1,-8.3,30.6,25.7,4.0,2.0,1.0,0.0,473.8,473.4,667.5,23.0,2.0,1.0,0.0,0.0,,1910,11,False
USC00118740,1910-12-01,-3.53,0.9,-7.95,7.8,-15.6,40.3,23.9,5.0,5.0,0.0,0.0,677.6,473.4,1345.1,31.0,15.0,0.0,0.0,0.0,,1910,12,False
USC00118740,1911-01-01,-1.4,3.19,-5.99,14.4,-17.8,57.8,17.5,9.0,7.0,0.0,0.0,611.7,0.0,1956.8,24.0,8.0,0.0,0.0,2.0,,1911,1,False
USC00118740,1911-02-01,0.93,4.92,-3.07,20.6,-11.7,30.2,8.4,8.0,4.0,0.0,0.0,487.4,0.0,2444.2,19.0,7.0,0.0,0.0,0.0,,1911,2,False
USC00118740,1911-03-01,4.27,10.23,-1.7,22.8,-12.2,47.0,24.1,4.0,3.0,0.0,0.0,436.0,0.0,2880.2,22.0,1.0,1.0,0.0,0.0,,1911,3,False
USC00118740,1911-04-01,9.17,13.9,4.43,22.2,-3.3,91.3,24.9,13.0,8.0,0.0,0.0,275.1,0.0,3155.3,6.0,0.0,2.0,0.0,0.0,,1911,4,True
USC00118740,1911-05-01,19.63,26.05,13.2,35.0,1.1,62.0,30.7,7.0,3.0,1.0,97.3,57.2,97.3,3212.5,0.0,0.0,25.0,4.0,0.0,,1911,5,True
USC00118740,1911-06-01,23.57,30.45,16.69,36.7,10.0,20.9,12.2,7.0,2.0,0.0,157.4,0.3,254.7,3212.8,0.0,0.0,30.0,11.0,0.0,,1911,6,True
USC00118740,1911-07-01,24.03,31.09,16.96,38.9,8.3,15.8,6.1,6.0,4.0,0.0,162.3,4.5,417.0,4.5,0.0,0.0,31.0,12.0,0.0,,1911,7,True
USC00118740,1911-08-01,22.81,29.21,16.41,36.1,9.4,85.1,41.1,5.0,4.0,1.0,146.6,7.8,563.6,12.3,0.0,0.0,30.0,10.0,0.0,,1911,8,True
USC00118740,1911-09-01,20.03,25.19,14.87,32.2,6.1,226.1,69.1,15.0,12.0,3.0,66.8,13.1,630.4,25.4,0.0,0.0,27.0,1.0,0.0,,1911,9,True
USC00118740,1911-10-01,11.68,16.94,6.43,28.9,-1.7,78.8,24.1,10.0,7.0,0.0,4.8,207.1,635.2,232.5,3.0,0.0,9.0,0.0,0.0,,1911,10,False
USC00118740,1911-11-01,1.68,6.21,-2.84,23.9,-12.8,72.0,26.7,9.0,5.0,1.0,0.0,499.5,635.2,732.0,23.0,3.0,1.0,0.0,0.0,,1911,11,False
USC00118740,1911-12-01,0.76,4.21,-2.69,16.1,-13.3,34.3,10.4,7.0,5.0,0.0,0.0,544.8,635.2,1276.8,26.0,6.0,0.0,0.0,0.0,,1911,12,False
USC00118740,1912-01-01,-10.09,-6.01,-14.17,5.6,-30.0,34.6,23.4,4.0,4.0,0.0,0.0,881.2,0.0,2158.0,30.0,24.0,0.0,0.0,12.0,,1912,1,False
USC00118740,1912-02-01,-5.83,-2.1,-9.56,9.4,-23.3,57.9,26.4,8.0,5.0,1.0,0.0,700.7,0.0,2858.7,26.0,18.0,0.0,0.0,4.0,,1912,2,False
USC00118740,1912-03-01,-0.87,3.25,-4.98,21.1,-12.2,86.9,29.0,10.0,8.0,1.0,0.0,595.2,0.0,3453.9,26.0,10.0,1.0,0.0,0.0,,1912,3,False
USC00118740,1912-04-01,11.19,16.75,5.63,23.9,-1.7,142.5,38.6,11.0,8.0,2.0,0.8,215.1,0.8,3669.0,4.0,0.0,9.0,0.0,0.0,,1912,4,True
USC00118740,1912-05-01,17.69,23.16,12.22,30.6,2.8,105.8,45.0,12.0,6.0,1.0,46.4,66.4,47.2,3735.4,0.0,0.0,22.0,0.0,0.0,,1912,5,True
USC00118740,1912-06-01,19.71,25.57,13.85,31.1,5.0,48.1,23.4,9.0,4.0,0.0,59.3,20.2,106.5,3755.6,0.0,0.0,26.0,0.0,0.0,,1912,6,True
USC00118740,1912-07-01,23.44,28.43,18.45,34.4,12.8,93.5,41.1,9.0,6.0,1.0,158.6,0.3,265.1,0.3,0.0,0.0,31.0,3.0,0.0,,1912,7,True
USC00118740,1912-08-01,21.91,27.24,16.58,33.3,8.3,52.3,11.4,10.0,6.0,0.0,121.9,11.1,387.0,11.4,0.0,0.0,29.0,5.0,0.0,,1912,8,True
USC00118740,1912-09-01,19.81,25.78,13.84,35.0,1.7,44.7,14.0,6.0,4.0,0.0,105.0,60.6,492.0,72.0,0.0,0.0,20.0,9.0,0.0,,1912,9,True
USC00118740,1912-10-01,13.47,20.42,6.51,29.4,-2.2,75.1,25.7,9.0,5.0,1.0,12.2,163.1,504.2,235.1,2.0,0.0,15.0,0.0,0.0,,1912,10,False
USC00118740,1912-11-01,5.52,10.65,0.38,22.2,-8.9,45.0,29.7,5.0,3.0,1.0,0.0,384.5,504.2,619.6,17.0,1.0,2.0,0.0,0.0,,1912,11,False
USC00118740,1912-12-01,0.62,5.93,-4.69,14.4,-15.6,14.6,6.9,4.0,2.0,0.0,0.0,549.2,504.2,1168.8,27.0,3.0,0.0,0.0,0.0,,1912,12,False
USC00118740,1913-01-01,-0.64,4.19,-5.47,14.4,-16.1,136.6,30.2,14.0,9.0,1.0,0.0,588.1,0.0,1756.9,27.0,8.0,0.0,0.0,0.0,,1913,1,False
USC00118740,1913-02-01,-4.24,0.8,-9.29,17.8,-22.8,28.1,11.2,6.0,3.0,0.0,0.0,632.2,0.0,2389.1,24.0,14.0,0.0,0.0,6.0,,1913,2,False
USC00118740,1913-03-01,2.79,8.48,-2.9,18.9,-18.3,152.3,42.9,13.0,7.0,3.0,0.0,481.9,0.0,2871.0,19.0,6.0,0.0,0.0,1.0,,1913,3,False
USC00118740,1913-04-01,10.74,16.64,4.83,26.7,-0.6,55.5,13.5,9.0,6.0,0.0,0.5,228.5,0.5,3099.5,5.0,0.0,8.0,0.0,0.0,,1913,4,True
USC00118740,1913-05-01,17.12,23.47,10.77,31.7,0.6,14.2,7.6,5.0,2.0,0.0,41.7,79.1,42.2,3178.6,0.0,0.0,22.0,0.0,0.0,,1913,5,True
USC00118740,1913-06-01,23.22,30.06,16.38,36.7,4.4,43.9,12.7,7.0,5.0,0.0,165.8,19.2,208.0,3197.8,0.0,0.0,27.0,12.0,0.0,,1913,6,True
USC00118740,1913-07-01,25.68,32.3,19.06,39.4,10.6,38.7,19.3,8.0,4.0,0.0,227.7,0.0,435.7,0.0,0.0,0.0,31.0,17.0,0.0,,1913,7,True
USC00118740,1913-08-01,25.27,31.73,18.81,37.8,12.8,36.5,22.1,8.0,4.0,0.0,215.0,0.0,650.7,0.0,0.0,0.0,31.0,15.0,0.0,,1913,8,True
USC00118740,1913-09-01,19.09,25.04,13.13,36.7,2.8,63.6,17.8,9.0,6.0,0.0,82.8,60.2,733.5,60.2,0.0,0.0,23.0,7.0,0.0,,1913,9,True
USC00118740,1913-10-01,11.59,16.61,6.56,27.8,-3.3,102.5,21.6,12.0,7.0,0.0,10.0,219.1,743.5,279.3,5.0,0.0,13.0,0.0,0.0,,1913,10,False
USC00118740,1913-11-01,8.62,12.97,4.27,22.2,-8.9,114.1,26.9,11.0,7.0,1.0,0.0,291.3,743.5,570.6,10.0,2.0,2.0,0.0,0.0,,1913,11,False
USC00118740,1913-12-01,2.56,5.57,-0.44,14.4,-8.9,19.6,7.1,7.0,3.0,0.0,0.0,473.1,743.5,1043.7,21.0,6.0,0.0,0.0,0.0,,1913,12,False
USC00118740,1914-01-01,0.92,4.61,-2.77,17.8,-13.3,50.1,21.3,9.0,4.0,0.0,0.0,539.7,0.0,1583.4,26.0,10.0,0.0,0.0,0.0,,1914,1,False
USC00118740,1914-02-01,-6.44,-1.75,-11.13,6.7,-18.3,63.5,16.5,8.0,7.0,0.0,0.0,693.6,0.0,2277.0,28.0,17.0,0.0,0.0,2.0,,1914,2,False
